Team,AUTO % Mobility,AUTO % Engage,Normal # of Pieces Low Auto,Normal # of Pieces Mid Auto,Normal # of Pieces High Auto,% Low Score,Normal # of Pieces Low Teleop,% Mid Score,Normal # of Pieces Mid Teleop,% High Score,Normal # of Pieces High Teleop,Avg Teleop Points,Defense Performance,Drive Base
116,77.8%,22.2%,0.0,0.0,1.0,27.6%,1.0,17.2%,0.0,55.2%,2.0,12.3,0.1,SWERVE
614,62.5%,37.5%,0.0,1.0,0.0,57.5%,3.0,20.0%,0.0,22.5%,0.0,14.4,0.3,SWERVE
686,50.0%,16.7%,0.0,0.0,1.0,12.5%,0.0,0.0%,0.0,87.5%,0.0,6.2,1.0,TANK
836,77.8%,55.6%,0.0,0.0,1.0,9.7%,0.0,12.9%,0.0,77.4%,4.0,15.3,1.0,SWERVE
888,12.5%,75.0%,0.0,0.0,1.0,0.0%,0.0,4.8%,0.0,95.2%,3.0,12.9,0.0,TANK
1111,100.0%,12.5%,0.0,0.0,0.0,72.7%,1.0,6.1%,0.0,21.2%,0.0,11.1,0.3,SWERVE
1418,42.9%,57.1%,0.0,0.0,0.0,38.5%,0.0,19.2%,1.0,42.3%,2.0,12.9,0.6,SWERVE
1629,71.4%,14.3%,0.0,0.0,1.0,22.6%,2.0,0.0%,0.0,77.4%,3.0,19.1,0.9,SWERVE
1719,50.0%,0.0%,0.0,0.0,1.0,35.3%,0.0,41.2%,0.0,23.5%,0.0,6.6,0.0,MECANUM
1727,71.4%,14.3%,0.0,0.0,1.0,9.8%,0.0,27.5%,0.0,62.7%,5.0,30.3,1.4,SWERVE
1895,87.5%,25.0%,1.0,0.0,0.0,43.5%,1.0,30.4%,0.0,26.1%,1.0,8.9,0.5,TANK
2186,87.5%,0.0%,1.0,0.0,0.0,57.1%,1.0,19.0%,0.0,23.8%,0.0,7.6,0.0,SWERVE
2199,75.0%,62.5%,0.0,0.0,1.0,15.2%,0.0,6.1%,0.0,78.8%,4.0,18.3,0.0,SWERVE
2377,57.1%,14.3%,0.0,0.0,1.0,55.6%,2.0,11.1%,0.0,33.3%,0.0,8.0,1.0,SWERVE
2421,75.0%,12.5%,0.0,0.0,0.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,3.0,5.9,TANK
2534,50.0%,0.0%,0.0,0.0,0.0,60.0%,0.0,0.0%,0.0,40.0%,0.0,2.0,1.6,SWERVE
2537,75.0%,0.0%,0.0,0.0,1.0,47.1%,0.0,23.5%,0.0,29.4%,0.0,7.6,0.0,SWERVE
2849,85.7%,85.7%,1.0,0.0,0.0,30.0%,0.0,20.0%,1.0,50.0%,2.0,10.6,0.3,MECANUM
2914,57.1%,0.0%,0.0,0.0,0.0,33.3%,1.0,44.4%,2.0,22.2%,0.0,8.0,1.0,SWERVE
3748,50.0%,75.0%,0.0,0.0,0.0,100.0%,2.0,0.0%,0.0,0.0%,0.0,4.0,1.4,TANK
3793,100.0%,0.0%,0.0,0.0,1.0,30.8%,1.0,15.4%,0.0,53.8%,1.0,6.1,0.0,TANK
4541,77.8%,0.0%,0.0,0.0,0.0,52.9%,3.0,8.8%,0.0,38.2%,0.0,12.2,0.0,SWERVE
4821,50.0%,0.0%,0.0,0.0,0.0,100.0%,2.0,0.0%,0.0,0.0%,0.0,4.5,0.4,TANK
5115,75.0%,12.5%,0.0,0.0,1.0,13.0%,0.0,0.0%,0.0,87.0%,3.0,13.3,0.0,TANK
5338,100.0%,0.0%,0.0,0.0,1.0,13.0%,0.0,8.7%,0.0,78.3%,3.0,12.8,0.8,SWERVE
5549,87.5%,0.0%,0.0,0.0,0.0,65.6%,2.0,12.5%,0.0,21.9%,0.0,11.1,1.0,SWERVE
5830,50.0%,25.0%,0.0,0.0,1.0,12.5%,0.0,6.3%,0.0,81.3%,1.0,9.0,0.3,TANK
6239,50.0%,0.0%,0.0,0.0,0.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,1.3,2.0,TANK
6326,75.0%,25.0%,0.0,0.0,1.0,9.5%,0.0,0.0%,0.0,90.5%,3.0,12.4,1.4,TANK
6863,87.5%,0.0%,0.0,0.0,0.0,38.5%,1.0,0.0%,0.0,61.5%,0.0,6.3,1.3,SWERVE
7770,25.0%,0.0%,1.0,0.0,0.0,83.3%,4.0,12.5%,0.0,4.2%,0.0,6.8,1.0,TANK
7886,50.0%,0.0%,0.0,0.0,0.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.3,0.0,MECANUM
8197,62.5%,0.0%,0.0,0.0,0.0,100.0%,3.0,0.0%,0.0,0.0%,0.0,5.3,1.0,MECANUM
8514,55.6%,0.0%,0.0,1.0,0.0,45.5%,0.0,45.5%,0.0,9.1%,0.0,3.3,1.4,TANK
8726,83.3%,0.0%,0.0,0.0,1.0,44.4%,0.0,5.6%,0.0,50.0%,2.0,10.7,1.0,SWERVE
9072,100.0%,0.0%,0.0,0.0,0.0,100.0%,3.0,0.0%,0.0,0.0%,0.0,6.3,0.7,TANK
