,Team,AUTO % Mobility,AUTO % Engage,Normal # of Pieces Low Auto,Normal # of Pieces Mid Auto,Normal # of Pieces High Auto,% Low Score,Normal # of Pieces Low Teleop,% Mid Score,Normal # of Pieces Mid Teleop,% High Score,Normal # of Pieces High Teleop,Avg Teleop Points,Defense Performance,Drive Base
0,116,63.6%,18.2%,0.0,0.0,1.0,22.9%,0.0,17.1%,0.0,60.0%,2.0,12.6,0.1,SWERVE
1,614,70.0%,30.0%,0.0,0.0,0.0,66.0%,3.0,16.0%,0.0,18.0%,0.0,13.5,0.3,MECANUM
2,686,62.5%,12.5%,0.0,0.0,1.0,23.1%,0.0,0.0%,0.0,76.9%,0.0,7.0,1.0,TANK
3,836,81.8%,45.5%,0.0,0.0,1.0,12.5%,0.0,12.5%,0.0,75.0%,0.0,12.7,1.0,SWERVE
4,888,9.1%,81.8%,0.0,0.0,1.0,6.5%,0.0,9.7%,0.0,83.9%,3.0,13.0,1.1,TANK
5,1111,100.0%,20.0%,0.0,0.0,0.0,66.7%,1.0,4.8%,0.0,28.6%,0.0,12.2,0.9,SWERVE
6,1418,33.3%,66.7%,0.0,0.0,0.0,33.3%,0.0,24.2%,1.0,42.4%,2.0,12.9,0.6,SWERVE
7,1629,70.0%,40.0%,0.0,0.0,1.0,26.2%,2.0,0.0%,0.0,73.8%,3.0,17.7,1.3,SWERVE
8,1719,50.0%,0.0%,0.0,0.0,1.0,38.1%,0.0,33.3%,0.0,28.6%,0.0,6.7,0.0,MECANUM
9,1727,77.8%,11.1%,0.0,0.0,1.0,12.3%,0.0,24.6%,0.0,63.2%,4.0,26.2,1.4,SWERVE
10,1895,63.6%,36.4%,0.0,0.0,0.0,41.9%,1.0,38.7%,1.0,19.4%,0.0,8.4,0.5,TANK
11,2186,81.8%,9.1%,1.0,0.0,0.0,52.0%,1.0,20.0%,0.0,28.0%,0.0,6.9,1.0,SWERVE
12,2199,77.8%,66.7%,0.0,0.0,1.0,16.7%,1.0,5.6%,0.0,77.8%,4.0,17.6,0.0,SWERVE
13,2377,57.1%,14.3%,0.0,0.0,1.0,55.6%,2.0,11.1%,0.0,33.3%,0.0,8.0,1.0,SWERVE
14,2421,60.0%,10.0%,0.0,0.0,0.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,3.6,6.1,TANK
15,2534,40.0%,0.0%,0.0,0.0,0.0,66.7%,0.0,0.0%,0.0,33.3%,0.0,1.8,2.1,SWERVE
16,2537,70.0%,0.0%,0.0,0.0,1.0,44.0%,0.0,20.0%,0.0,36.0%,0.0,9.1,0.0,SWERVE
17,2849,20.0%,70.0%,1.0,0.0,0.0,29.6%,0.0,18.5%,1.0,51.9%,2.0,10.1,0.3,MECANUM
18,2914,50.0%,0.0%,0.0,0.0,0.0,31.6%,1.0,47.4%,1.0,21.1%,0.0,7.4,1.0,SWERVE
19,3748,40.0%,70.0%,0.0,0.0,0.0,100.0%,3.0,0.0%,0.0,0.0%,0.0,4.4,2.0,TANK
20,3793,90.0%,0.0%,0.0,0.0,1.0,25.0%,1.0,15.0%,0.0,60.0%,1.0,7.9,0.0,TANK
21,4541,72.7%,0.0%,0.0,0.0,1.0,47.5%,1.0,7.5%,0.0,45.0%,3.0,12.5,0.0,SWERVE
22,4821,60.0%,0.0%,0.0,0.0,0.0,90.0%,2.0,5.0%,0.0,5.0%,0.0,4.4,0.4,TANK
23,5115,75.0%,12.5%,0.0,0.0,1.0,13.0%,0.0,0.0%,0.0,87.0%,3.0,13.3,0.0,TANK
24,5338,100.0%,0.0%,0.0,0.0,1.0,14.8%,0.0,7.4%,0.0,77.8%,3.0,13.2,0.8,SWERVE
25,5549,81.8%,9.1%,0.0,0.0,0.0,59.5%,2.0,16.7%,0.0,23.8%,0.0,11.0,1.8,SWERVE
26,5830,44.4%,33.3%,0.0,0.0,1.0,16.7%,0.0,5.6%,0.0,77.8%,1.0,8.8,0.3,TANK
27,6239,55.6%,0.0%,0.0,0.0,0.0,71.4%,0.0,0.0%,0.0,28.6%,0.0,2.2,2.0,TANK
28,6326,70.0%,20.0%,0.0,0.0,1.0,8.3%,0.0,0.0%,0.0,91.7%,3.0,11.4,1.7,TANK
29,6863,90.0%,0.0%,0.0,0.0,0.0,33.3%,1.0,0.0%,0.0,66.7%,0.0,7.2,1.3,SWERVE
30,7770,45.5%,0.0%,1.0,0.0,0.0,87.1%,4.0,9.7%,0.0,3.2%,0.0,6.2,1.4,TANK
31,7886,55.6%,0.0%,0.0,0.0,0.0,100.0%,0.0,0.0%,0.0,0.0%,0.0,0.2,0.0,MECANUM
32,8197,72.7%,0.0%,0.0,0.0,0.0,100.0%,3.0,0.0%,0.0,0.0%,0.0,4.7,1.3,MECANUM
33,8514,45.5%,0.0%,0.0,1.0,0.0,46.7%,0.0,46.7%,0.0,6.7%,0.0,3.6,1.4,TANK
34,8726,88.9%,0.0%,0.0,0.0,1.0,42.9%,0.0,4.8%,0.0,52.4%,2.0,8.4,1.0,SWERVE
35,9072,100.0%,0.0%,0.0,0.0,0.0,100.0%,3.0,0.0%,0.0,0.0%,0.0,5.6,1.5,TANK
